X,SUBSTATION,MAIN MCC CONTROL,M.S. & M.W.,OFFICE,AN,ACH,MMA,WWI,WWI Tank,AMS,SAR,RO/BIO,BIO PIT,COOLING TOWER,UNLOADING UNIT,COMPRESSOR REFRIGERATOR,COMMON,ACH/AMS TANK,UTILITY,TANK1,TANK2
SUBSTATION,0,6,6,6,30,30,30,30,30,30,30,30,30,6,6,30,15,30,15,30,30
MAIN MCC CONTROL,6,0,6,6,30,30,30,30,30,30,30,30,30,6,6,30,15,30,15,30,30
M.S. & M.W.,6,6,0,6,30,30,30,30,30,30,30,30,30,6,6,30,15,30,15,30,30
OFFICE,6,6,6,0,30,30,30,30,30,30,30,30,30,6,6,30,15,30,15,30,30
AN,30,30,30,30,0,6,6,6,6,6,6,6,6,6,6,10,30,6,30,6,6
ACH,30,30,30,30,6,0,6,6,6,6,6,6,6,6,6,10,30,6,30,6,6
MMA,30,30,30,30,6,6,0,6,6,6,6,6,6,6,6,10,30,6,30,6,6
WWI,30,30,30,30,6,6,6,0,6,6,6,6,6,6,6,10,30,6,30,6,6
WWI Tank,30,30,30,30,6,6,6,6,0,6,6,6,6,6,6,10,30,6,30,6,6
AMS,30,30,30,30,6,6,6,6,6,0,6,6,6,6,6,10,30,6,30,6,6
SAR,30,30,30,30,6,6,6,6,6,6,0,6,6,6,6,10,30,6,30,6,6
RO/BIO,30,30,30,30,6,6,6,6,6,6,6,0,6,6,6,10,30,6,30,6,6
BIO PIT,30,30,30,30,6,6,6,6,6,6,6,6,0,6,6,10,30,6,30,6,6
COOLING TOWER,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6
UNLOADING UNIT,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6
COMPRESSOR REFRIGERATOR,30,30,30,30,10,10,10,10,10,10,10,10,10,6,6,0,30,10,30,10,10
COMMON,15,15,15,15,30,30,30,30,30,30,30,30,30,6,6,30,0,30,15,30,30
ACH/AMS TANK,30,30,30,30,6,6,6,6,6,6,6,6,6,6,6,10,30,0,30,6,6
UTILITY,15,15,15,15,30,30,30,30,30,30,30,30,30,6,6,30,15,30,0,30,30
TANK1,30,30,30,30,6,6,6,6,6,6,6,6,6,6,6,10,30,6,30,0,6
TANK2,30,30,30,30,6,6,6,6,6,6,6,6,6,6,6,10,30,6,30,6,0
